List of Haircut
Date Uploaded: 20200630
Date|Instrument Code|Instrument Name|Haircut (%)|Keterangan|
20200630|BATA|Sepatu Bata Tbk.|10|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BAYU|Bayu Buana Tbk|45|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BBCA|Bank Central Asia Tbk.|5|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BBHI|Bank Harda Internasional Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BBKP|Bank Bukopin Tbk.|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BBLD|Buana Finance Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BBMD|Bank Mestika Dharma Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BBNI|Bank Negara Indonesia (Persero) Tbk.|5|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BBRI|Bank Rakyat Indonesia (Persero) Tbk.|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BBRM|Pelayaran Nasional Bina Buana Raya Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BBSS|PT Bumi Benowo Sukses Sejahtera Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BBTN|Bank Tabungan Negara (Persero) Tbk.|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BBYB|Bank Yudha Bhakti Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BCAP|MNC Kapital Indonesia Tbk.|40|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BCIC|Bank JTrust Indonesia Tbk.|100|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BCIP|Bumi Citra Permai Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BDMN|Bank Danamon Indonesia Tbk.|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BEEF|Estika Tata Tiara Tbk.|20|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BEKS|Bank Pembangunan Daerah Banten Tbk.|85|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BELL|Trisula Textile Industries Tbk.|40|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BESS|PT Batulicin Nusantara Maritim Tbk.|60|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BEST|Bekasi Fajar Industrial Estate Tbk.|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BFIN|BFI Finance  Indonesia Tbk.|20|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BGTG|Bank Ganesha Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BHAT|PT Bhakti Multi Artha Tbk.|50|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BHIT|MNC Investama Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BIKA|Binakarya Jaya Abadi Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BIMA|Primarindo Asia Infrastructure Tbk.|100|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BINA|Bank Ina Perdana Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BIPI|Astrindo Nusantara Infrastruktur Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BIPP|Bhuwanatala Indah Permai Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BIRD|Blue Bird Tbk.|20|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BISI|BISI International Tbk.|20|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
