NAV Date|Fund Code|Fund Name|IM Code|IM Name|CB Code|CB Name|NAV per Unit|NAV|30 Days Performance (%)|Last 1 Year Performance (%)|Last 1 Year Real Performance (%)|Outstanding Unit
20200121|IIM02PFCIPROTK27|Reksa Dana Terproteksi Insight Terproteksi 27|IIM02|PT Insight Investments Management|DBSI1|PT BANK DBS INDONESIA|1023.4413|182684272547.05|1.07|15.51|15.51|178500000
20200121|IIM02PFCIPROTK29|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 29|IIM02|PT Insight Investments Management|DBSI1|PT BANK DBS INDONESIA|1022.5166|50082863921.17|1.24|10.02|10.02|48980000
20200121|IIM02PFCIPROTK30|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 30|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1021.424|101815582344.74|1.37|3.65|3.65|99680000
20200121|IIM02PFCIPROTK31|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 31|IIM02|PT Insight Investments Management|BBKP2|PT BANK BUKOPIN|959.7713|192146223213.82|2.64|-4.04|-4.04|200200000
20200121|IIM02PFCIPROTK32|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 32|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1009.298|161058761189.01|-1.04|3.16|3.16|159575000
20200121|IIM02PFCIPROTK33|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 33|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|0|0|0|0|0|0
20200121|IIM02PFCIPROTK34|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 34|IIM02|PT Insight Investments Management|MEGA3|BANK MEGA Tbk, PT|1039.0778|219437199696.35|2.05|23.75|23.75|211184571.8938
20200121|IIM02PFCIPROTK35|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 35|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1013.979|33538885949.03|1.11|3.23|3.23|33076504.1574
20200121|IIM02PFCIPROTK36|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 36|IIM02|PT Insight Investments Management|BRI01|BANK RAKYAT INDONESIA (PERSERO), PT|1019.7131|13065381262.48|0.93|2.64|1.11|12812801.114
20200121|IIM02PFCIPROTK37|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 37|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|978.034|71751097960.02|-0.34|5.34|5.34|73362575.3623
20200121|IIM02PFCIPROTK39|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 39|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|993.367|184532029125.24|-1.78|0|0|185764296.557
20200121|IIM02PFCIPROTK40|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 40|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1035.012|263211887495.59|1.18|0|0|254308054.742
20200121|IIM02PFCIPROTK41|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 41|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1|0|0|-99.9|-99.9|0
20200121|IIM02PFCIPROTK42|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 42|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1003.286|79310757355.17|-1.07|0|0|79051000
20200121|IIM02PFCIPROTK43|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 43|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1062.886|53144281597.94|1.43|4.15|4.15|50000000
20200121|IIM02PFCIPROTK44|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 44|IIM02|PT Insight Investments Management|DBSI1|PT BANK DBS INDONESIA|785.8146|416481745136.84|-0.33|0|0|530000000
20200121|IIM02PFCIPROTK45|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 45|IIM02|PT Insight Investments Management|BRI01|BANK RAKYAT INDONESIA (PERSERO), PT|1033.8076|83099841748.81|1.19|0|0|80382311.731
20200121|IIM02PFCIPROTK46|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 46|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|940.821|318166393603.72|1.87|0|0|338179427.6909
20200121|IIM02PFCIPROTK47|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 47|IIM02|PT Insight Investments Management|DBSI1|PT BANK DBS INDONESIA|999.595|60271501798.91|0.88|0|0|60295920
20200121|IIM02PFCIPROTK49|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 49|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|989.082|152318560048.03|-0.8|0|0|154000000
20200121|IIM02PFCIPROTK50|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 50|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|982.297|194497823584.52|0.23|0|0|198003000
20200121|IIM02PFCIPRUSD00|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI USD|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1.003|21000571.79|0.46|1.4|1.4|20936000
20200121|IIM02PFSIPROSY03|RDST INSIGHT TERPROTEKSI SYARIAH III|IIM02|PT Insight Investments Management|DBSI1|PT BANK DBS INDONESIA|986.9454|69736537861.57|1|7.27|7.27|70658956.2659
20200121|IIM02PFSIPROSY05|REKSA DANA SYARIAH TERPROTEKSI INSIGHT TERPROTEKSI SYARIAH V|IIM02|PT Insight Investments Management|MEGA3|BANK MEGA Tbk, PT|990.0405|43561783794.33|0.65|7.31|7.31|44000000
